"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ETS1-1",150.411380876596,-0.199416393921399,0.14890354783579,-1.33923198486388,0.180495162916911,0.356382722968347
"ETS2-1",0,NA,NA,NA,NA,NA
"HRA1",1.08884236321432,3.00836450822478,1.9216957123467,1.56547391394815,0.117471829266403,NA
"ICR1",28.8713313668145,-0.18150901586223,0.347963330387728,-0.521632597492325,0.601926162466397,0.759663013744861
"IRT1",29.6053852845893,0.493083482635182,0.333611416203311,1.47801741393252,0.13940311726909,0.297307898263967
"ITS1-1",23.8676180072013,-7.46052803165611,1.21241770470173,-6.15343045777404,7.58246335656816e-10,9.35869573009615e-09
"ITS2-1",66.4678186417691,-1.2284925459117,0.237442766856759,-5.17384699552799,2.29322635549798e-07,2.262416001402e-06
"LSR1",16.9165523707383,-0.158928536083733,0.448937900122395,-0.354010066961164,0.723331338819275,0.844784597642563
"NME1",2.71100441612297,-0.23458825203327,1.10516513070111,-0.212265339827044,0.831900034097406,0.912259375765416
"PWR1",0,NA,NA,NA,NA,NA
"RDN18-1",2959.6900996204,1.54388724190277,0.0342202862035899,45.1161405465045,0,0
"RDN25-1",11169.9383152825,0.94554306386902,0.0200412285080389,47.1798953586974,0,0
"RDN37-1",346.074173520069,-0.387229952985723,0.369899909912319,-1.04685062799153,0.29516847585256,0.491326349618566
"RDN5-1",1.58043236085913,-3.54386851810006,3.92578230709739,-0.90271651377437,0.366676369741769,NA
"RDN5-2",16.9907032062215,1.71765535682933,1.23473428548036,1.39111335696093,0.164191055136611,0.332630365323352
"RDN58-1",441.664626496838,2.46135583057351,0.0937814590302823,26.2456551222853,8.012392703565e-152,1.13365585544831e-149
"RME2",92.1606016059824,-0.535578298937329,0.833814965666771,-0.642322722654715,0.520663663599519,0.699015835619024
"RME3",4.71073148844282,0.962103197380359,3.06571843449444,0.313826340525958,0.753652937470508,0.863360759677224
"RNA170",1.88435866267998,0.118306345265376,1.31022967327333,0.090294356538127,0.928053304663996,0.959541263254297
"RPR1",3.3995805601121,0.646859431935749,0.9253080718124,0.699074666741798,0.484505369458525,0.669194201959263
"RUF20",6.75134625223341,-2.55415201195166,0.890642397542065,-2.86776378375928,0.00413384043064925,0.0181807493087159
"RUF21",1.35784138657335,-3.32476043027707,1.68417309118701,-1.97412038446343,0.0483680560018224,NA
"RUF22",0,NA,NA,NA,NA,NA
"RUF23",0.922496364882848,-1.36261346853884,1.85033607519509,-0.736414042186999,0.461478761527494,NA
"RUF5-1",240.382069423746,0.198686625096536,0.118437880088016,1.67755978871696,0.0934330683590175,0.219880417667611
"SCR1",22.641236417119,0.942783171614927,0.369913248273625,2.54866019536978,0.0108137609085067,0.040237733823122
"snR10",10.1148463283373,-0.0839130435376489,0.551056750485454,-0.15227659122899,0.878968787086331,0.934985253101274
"snR11",21.4741881795773,-0.651983766424519,0.388246460869893,-1.67930382408047,0.0930928461041653,0.219257653369981
"snR128",3.1903300725451,0.226425984327238,0.976327873344686,0.231915927537285,0.816603313373616,0.903033984819398
"snR13",1.07354880068588,1.11796963103708,1.7405233523648,0.642318087555749,0.520666672511203,NA
"snR14",1.01875388276772,-2.91014336752242,1.84166813583844,-1.58016708379306,0.114068607733216,NA
"snR161",0.855552800884107,2.60587029834533,2.16142946950774,1.20562356306672,0.227962669529699,NA
"snR17a",1.73987204106871,-1.33860682944581,1.49090073286846,-0.897851077496189,0.369264949560123,NA
"snR17b",7.78747653236982,0.0322180135296685,0.663386579450428,0.0485659712265493,0.961265188976151,0.978716294877196
"snR18",2.1354277037457,0.440276256644568,1.22551407384926,0.359258425537039,0.719401772657755,0.841968861532038
"snR189",0.582432390156162,-0.360421075327596,2.4098041652292,-0.149564466909001,0.881108244077809,NA
"snR19",16.786737406834,-1.23315836304903,0.477394617429717,-2.58310068447846,0.00979167428834334,0.0370766987902609
"snR190",1.31630886417771,1.52882721848874,1.6224384928086,0.942302112077107,0.346037987141296,NA
"snR191",0.243787384835511,2.0800354096598,3.48649448843318,0.596597934274824,0.550775850750858,NA
"snR24",0.605809271117369,2.01725992808825,2.30974550023683,0.873368917866236,0.382462027017104,NA
"snR3",3.22922939661723,1.11940720859349,1.0003915860836,1.11896903589105,0.263153349035958,0.45680029270382
"snR30",50.1852542330403,-0.0456876495955633,0.24809737791279,-0.184152085684771,0.853894146642375,0.924149243409033
"snR31",11.9091292529694,0.0905384144979059,0.512037398556738,0.176819925171684,0.859649837634433,0.92623118650025
"snR32",3.37612416458615,-0.807315063050685,0.988605592627456,-0.816619963584317,0.414145642787153,0.607377862715184
"snR33",15.5077796604886,-0.70606167580245,0.456631379476615,-1.54623993780657,0.122046631475376,0.27002002638774
"snR34",5.1100527753945,-0.981558763255612,0.813905387441198,-1.20598632027918,0.227822765085873,0.41507533299722
